date,service_id,exception_type
20170116,1,2
20170116,7,1
20170220,1,2
20170220,7,1
20171009,1,2
20171009,7,1
20171110,1,2
20171110,7,1
20171124,1,2
20171124,7,1
20170102,1,2
20170529,1,2
20170704,1,2
20170904,1,2
20171123,1,2
20171123,6,2
20171225,1,2
20180101,1,2
20180115,1,2
20180115,7,1
20180219,1,2
20180219,7,1
20180528,1,2
20180528,12,2
20180704,1,2
20180704,12,2
20180903,1,2
20180903,12,2
20181008,1,2
20181008,7,1
20181112,1,2
20181112,7,1
20181122,1,2
20181122,6,2
20181123,1,2
20181123,7,1
20181225,1,2
