trip_id,route_id,service_id,trip_headsign,block_id,shape_id
493,20,1,Inbound,1301,78
835,19,2,Inbound,7481,82
277,8,1,Outbound,2611,25
745,8,2,Outbound,8601,7
512,24,1,Outbound,1532,101
744,8,2,Outbound,7511,7
436,14,1,Inbound,1171,8
270,8,1,Outbound,1181,15
153,4,1,Inbound,2641,51
109,4,1,Outbound,1081,36
1985,56,1,Outbound,3021,175
758,8,2,Inbound,7381,109
819,19,2,Outbound,7481,2
663,2,2,Inbound,7231,37
329,9,1,Outbound,1011,44
882,1,2,Inbound,8611,40
80,2,1,Outbound,1542,43
740,8,2,Outbound,7431,7
841,9,2,Outbound,7401,44
283,8,1,Outbound,1512,24
903,23,1,Inbound,1481,39
340,9,1,Inbound,1051,1
875,1,2,Inbound,7501,40
435,14,1,Inbound,1041,8
1821,48,1,Outbound,1452,10
1789,48,1,Outbound,1461,10
832,32,2,Outbound,7481,12
838,9,2,Inbound,7251,1
735,8,2,Outbound,7421,7
748,8,2,Outbound,7211,7
424,14,1,Outbound,1141,0
721,6,2,Inbound,7541,142
892,23,1,Outbound,1141,152
84,2,1,Inbound,1211,38
804,11,2,Inbound,7531,68
432,14,1,Outbound,2662,0
913,16,1,Inbound,2621,169
761,8,2,Inbound,7441,109
226,6,1,Inbound,1442,179
633,4,2,Outbound,7211,36
723,6,2,Inbound,7481,142
465,18,1,Outbound,2611,47
589,29,1,Outbound,4031,94
918,43,6,Outbound,5011,166
828,32,2,Outbound,7171,12
180,5,1,Inbound,1151,22
588,29,1,Outbound,4041,16
31,1,1,Inbound,1191,40
120,4,1,Outbound,1081,36
730,6,2,Inbound,8291,142
887,39,1,Inbound,1311,111
86,2,1,Inbound,1231,37
410,13,1,Inbound,3061,83
777,13,2,Outbound,8381,81
8,1,1,Outbound,1161,45
400,13,1,Outbound,1151,81
487,19,1,Inbound,1462,82
416,13,1,Inbound,2641,125
160,5,1,Outbound,1021,150
751,8,2,Outbound,8552,7
1760,11,1,Outbound,1201,69
860,1,2,Outbound,7221,45
919,43,6,Outbound,5011,165
141,4,1,Inbound,1241,51
539,25,1,Outbound,4091,160
845,9,2,Outbound,8381,44
672,4,2,Inbound,7211,51
614,32,1,Inbound,4121,95
404,13,1,Outbound,1362,80
335,9,1,Outbound,1271,44
438,14,1,Inbound,2591,8
1989,56,1,Inbound,2601,174
673,4,2,Inbound,6041,51
131,4,1,Outbound,1442,36
255,7,1,Inbound,1111,96
475,19,1,Outbound,1131,2
29,1,1,Inbound,1171,40
51,1,1,Inbound,4111,40
582,55,1,Inbound,1361,93
259,7,1,Inbound,4071,140
809,55,2,Inbound,7501,3
775,13,2,Outbound,7481,81
657,4,2,Outbound,7441,36
235,7,1,Outbound,1391,60
510,24,1,Outbound,1372,100
572,26,1,Inbound,2561,137
626,32,1,Outbound,1362,105
784,13,2,Inbound,7481,125
617,32,1,Outbound,1411,67
762,8,2,Inbound,7151,109
945,53,2,Inbound,6071,71
527,25,1,Outbound,1451,28
502,22,1,Inbound,1451,146
638,2,2,Outbound,7401,43
928,2,1,Outbound,2641,43
624,32,1,Outbound,1472,12
11,1,1,Outbound,1101,45
156,4,1,Inbound,1452,51
516,24,1,Inbound,1521,103
47,1,1,Inbound,1542,40
484,19,1,Inbound,1121,82
695,14,2,Outbound,7171,0
559,26,1,Outbound,1342,52
201,6,1,Outbound,1031,19
840,9,2,Inbound,7221,1
856,1,2,Outbound,7171,45
105,2,1,Inbound,2651,38
747,8,2,Outbound,8611,7
18,1,1,Outbound,1542,45
781,11,2,Outbound,8271,69
55,2,1,Outbound,1211,118
318,8,1,Inbound,1512,131
806,55,2,Inbound,7431,3
592,29,1,Inbound,1481,18
876,1,2,Inbound,7221,40
312,8,1,Inbound,1522,109
174,5,1,Outbound,1372,91
267,8,1,Outbound,1081,15
920,43,6,Inbound,5011,126
907,23,1,Inbound,1432,42
1811,48,1,Outbound,1312,6
441,14,1,Inbound,2551,8
193,5,1,Inbound,4111,22
45,1,1,Inbound,1492,40
437,14,1,Inbound,1231,8
571,26,1,Inbound,1312,26
91,2,1,Inbound,1031,37
583,55,1,Inbound,1321,93
268,8,1,Outbound,1111,15
718,14,2,Inbound,6081,8
240,7,1,Outbound,1221,58
578,55,1,Outbound,1321,135
315,8,1,Inbound,4021,131
106,2,1,Inbound,2671,37
790,55,2,Outbound,7511,90
20,1,1,Outbound,4101,45
800,11,2,Inbound,8271,68
764,8,2,Inbound,7431,109
850,18,2,Inbound,8601,46
1025,27,1,Outbound,1281,170
1795,48,1,Outbound,1161,10
164,5,1,Outbound,1061,107
480,19,1,Outbound,4161,183
184,5,1,Inbound,1531,4
351,9,1,Inbound,2581,1
241,7,1,Outbound,1061,58
648,4,2,Outbound,7231,36
821,32,2,Inbound,7171,64
631,36,1,Inbound,2671,148
413,13,1,Inbound,1171,125
817,19,2,Outbound,7251,2
1783,48,1,Outbound,1181,10
933,53,1,Outbound,1321,72
523,24,1,Inbound,1532,31
169,5,1,Outbound,1422,107
886,39,1,Outbound,1412,112
199,6,1,Outbound,1491,19
344,9,1,Inbound,1011,1
137,4,1,Inbound,1081,51
147,4,1,Inbound,1231,51
434,14,1,Inbound,1141,8
736,8,2,Outbound,7381,7
1785,48,1,Outbound,1101,10
337,9,1,Outbound,1352,44
145,4,1,Inbound,1191,51
682,6,2,Outbound,7541,74
551,25,1,Inbound,4201,56
750,8,2,Outbound,8601,7
94,2,1,Inbound,1111,37
537,25,1,Outbound,4221,160
634,2,2,Outbound,7511,43
182,5,1,Inbound,1091,22
308,8,1,Inbound,1141,109
851,18,2,Inbound,8611,46
28,1,1,Inbound,1081,40
554,26,1,Outbound,1121,52
640,2,2,Outbound,7231,43
864,1,2,Outbound,8551,45
49,1,1,Inbound,4101,40
683,6,2,Outbound,7481,74
118,4,1,Outbound,1081,36
593,29,1,Inbound,1421,17
825,32,2,Inbound,7511,64
615,32,1,Inbound,1362,64
650,4,2,Outbound,7541,36
